,US,Rus,Syr,Tur,S.A.,Iran,ISIS,Hez,IqKrd,Nursa,Iraq
US,,2,2,5,4,2,1,1,4,2,4
Rus,2,,4,2,3,3,1,3,2,2,3
Syr,2,4,,1,2,2,1,4,1,2,3
Tur,5,2,1,,3,2,2,3,2,2,3
S.A.,4,3,2,3,,1,1,3,3,2,3
Iran,2,3,2,2,1,,2,5,3,2,2
ISIS,1,1,1,2,1,2,,2,1,2,1
Hez,1,3,4,3,3,5,2,,3,2,3
IqKrd,4,2,1,2,3,3,1,3,,2,3
Nursa,2,2,2,2,2,2,2,2,2,,2
Iraq,4,3,3,3,3,2,1,3,3,2,
